tv_show,season_num,season_url,episode_num,episode_url,episode_title,air_date
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,19,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Petty_in_Pink,Petty in Pink,2011-04-25
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,20,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Princesses_and_the_Frog,The Princesses and the Frog,2011-05-02
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,21,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Shattered_Bass,Shattered Bass,2011-05-09
Gossip Girl Wiki | Fandom,4,https://gossipgirl.fandom.com/wiki/Season_4,22,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Wrong_Goodbye,The Wrong Goodbye,2011-05-16
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,1,"https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Yes,_Then_Zero","Yes, Then Zero",2011-09-26
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,2,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Beauty_and_the_Feast,Beauty and the Feast,2011-10-03
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,3,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Jewel_of_Denial,The Jewel of Denial,2011-10-10
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,4,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Memoirs_of_an_Invisible_Dan,Memoirs of an Invisible Dan,2011-10-17
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,5,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Fasting_and_the_Furious,The Fasting and the Furious,2011-10-24
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,6,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/I_Am_Number_Nine,I Am Number Nine,2011-11-07
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,7,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/The_Big_Sleep_No_More,The Big Sleep No More,2011-11-14
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,8,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/All_the_Pretty_Sources,All the Pretty Sources,2011-11-21
Gossip Girl Wiki | Fandom,5,https://gossipgirl.fandom.com/wiki/Season_5,9,https://gossipgirl.fandom.com/wiki/Gossip_Girl_Wiki/wiki/Rhodes_to_Perdition,Rhodes to Perdition,2011-11-28
